Symptom,Synonym
itching,pruritus
skin_rash,dermatitis
nodal_skin_eruptions,skin lesions
continuous_sneezing,uninterrupted sneezing
shivering,trembling
chills,rigors
joint_pain,arthralgia
stomach_pain,abdominal pain
acidity,heartburn
ulcers_on_tongue,oral ulcers
muscle_wasting,muscle atrophy
vomiting,emesis
burning_micturition,painful urination
spotting_urination,bloody urine
fatigue,tiredness
weight_gain,weight increase
anxiety,nervousness
cold_hands_and_feets,cold extremities
mood_swings,emotional fluctuations
weight_loss,weight decrease
restlessness,agitation
lethargy,fatigue
patches_in_throat,throat patches
irregular_sugar_level,fluctuating blood sugar
cough,productive cough
high_fever,pyrexia
sunken_eyes,hollow eyes
breathlessness,shortness of breath
sweating,diaphoresis
dehydration,excessive thirst
indigestion,dyspepsia
headache,cephalalgia
yellowish_skin,jaundiced skin
dark_urine,concentrated urine
nausea,sickness
loss_of_appetite,anorexia
pain_behind_the_eyes,retro-orbital pain
back_pain,dorsalgia
constipation,hard stools
abdominal_pain,stomachache
diarrhoea,loose stools
mild_fever,low-grade fever
yellow_urine,amber urine
yellowing_of_eyes,icteric eyes
acute_liver_failure,liver failure
fluid_overload,fluid retention
swelling_of_stomach,abdominal swelling
swelled_lymph_nodes,enlarged lymph nodes
malaise,general discomfort
blurred_and_distorted_vision,vision impairment
phlegm,sputum
throat_irritation,pharyngeal irritation
redness_of_eyes,conjunctival redness
sinus_pressure,sinus pain
runny_nose,rhinorrhea
congestion,nasal congestion
chest_pain,thoracic pain
weakness_in_limbs,limb weakness
fast_heart_rate,tachycardia
pain_during_bowel_movements,dyschezia
pain_in_anal_region,rectal pain
bloody_stool,hematochezia
irritation_in_anus,anal discomfort
neck_pain,cervicalgia
dizziness,vertigo
cramps,spasms
bruising,ecchymosis
obesity,overweight
swollen_legs,edema in legs
swollen_blood_vessels,varicose veins
puffy_face_and_eyes,facial edema
enlarged_thyroid,goiter
brittle_nails,fragile nails
swollen_extremeties,edema in extremities
excessive_hunger,polyphagia
extra_marital_contacts,extramarital affairs
drying_and_tingling_lips,chapped lips
slurred_speech,dysarthria
knee_pain,gonalgia
hip_joint_pain,coxalgia
muscle_weakness,myasthenia
stiff_neck,cervical stiffness
swelling_joints,arthropathy
movement_stiffness,rigidity
spinning_movements,vertigo
loss_of_balance,imbalance
unsteadiness,instability
weakness_of_one_body_side,hemiparesis
loss_of_smell,anosmia
bladder_discomfort,cystitis
foul_smell_ofurine,malodorous urine
continuous_feel_of_urine,urinary urgency
passage_of_gases,flatulence
internal_itching,pruritus internus
toxic_look_(typhos),sepsis appearance
depression,melancholy
irritability,agitation
muscle_pain,myalgia
altered_sensorium,confusion
red_spots_over_body,petechiae
belly_pain,abdominal discomfort
abnormal_menstruation,irregular periods
dischromic_patches,skin discoloration
watering_from_eyes,tearing
increased_appetite,polyphagia
polyuria,frequent urination
family_history,genetic predisposition
mucoid_sputum,viscid sputum
rusty_sputum,hemoptysis
lack_of_concentration,attention deficit
visual_disturbances,vision changes
receiving_blood_transfusion,blood transfusion
receiving_unsterile_injections,unsafe injections
coma,unconsciousness
stomach_bleeding,gastrointestinal bleeding
distention_of_abdomen,abdominal distension
history_of_alcohol_consumption,alcohol use history
fluid_overload,fluid retention
blood_in_sputum,hemoptysis
prominent_veins_on_calf,venous prominence
palpitations,heart palpitations
painful_walking,limping
pus_filled_pimples,pustules
blackheads,open comedones
scurring,scaling
skin_peeling,desquamation
silver_like_dusting,argentate dusting
small_dents_in_nails,pitting nails
inflammatory_nails,onychitis
blister,vesicle
red_sore_around_nose,nasal soreness
yellow_crust_ooze,oozing crust
