Symptom,Duration,Intensity
itching,1 day,mild
skin_rash,3 days,medium
nodal_skin_eruptions,4 days,medium
continuous_sneezing,4 days,mild
shivering,5 days,medium
chills,3 days,high
joint_pain,3 days,medium
stomach_pain,5 days,medium
acidity,3 days,mild
ulcers_on_tongue,4 days,medium
muscle_wasting,3 days,high
vomiting,5 days,high
burning_micturition,6 days,medium
spotting_urination,6 days,mild
fatigue,4 days,medium
weight_gain,3 days,low
anxiety,4 days,medium
cold_hands_and_feets,5 days,low
mood_swings,3 days,medium
weight_loss,3 days,high
restlessness,5 days,medium
lethargy,2 days,low
patches_in_throat,6 days,mild
irregular_sugar_level,5 days,medium
cough,4 days,medium
high_fever,7 days,high
sunken_eyes,3 days,medium
breathlessness,4 days,high
sweating,3 days,high
dehydration,4 days,high
indigestion,5 days,medium
headache,3 days,medium
yellowish_skin,3 days,medium
dark_urine,4 days,high
nausea,5 days,medium
loss_of_appetite,4 days,medium
pain_behind_the_eyes,4 days,medium
back_pain,3 days,medium
constipation,4 days,medium
abdominal_pain,4 days,medium
diarrhoea,6 days,high
mild_fever,5 days,low
yellow_urine,4 days,medium
yellowing_of_eyes,4 days,medium
acute_liver_failure,6 days,high
fluid_overload,6 days,high
swelling_of_stomach,7 days,high
swelled_lymph_nodes,6 days,medium
malaise,6 days,medium
blurred_and_distorted_vision,5 days,medium
phlegm,5 days,medium
throat_irritation,4 days,mild
redness_of_eyes,5 days,medium
sinus_pressure,4 days,medium
runny_nose,5 days,mild
congestion,5 days,mild
chest_pain,7 days,high
weakness_in_limbs,7 days,medium
fast_heart_rate,5 days,high
pain_during_bowel_movements,5 days,high
pain_in_anal_region,6 days,medium
bloody_stool,5 days,high
irritation_in_anus,6 days,mild
neck_pain,5 days,medium
dizziness,4 days,medium
cramps,4 days,medium
bruising,4 days,low
obesity,4 days,low
swollen_legs,5 days,medium
swollen_blood_vessels,5 days,medium
puffy_face_and_eyes,5 days,low
enlarged_thyroid,6 days,medium
brittle_nails,5 days,low
swollen_extremeties,5 days,medium
excessive_hunger,4 days,medium
extra_marital_contacts,5 days,low
drying_and_tingling_lips,4 days,low
slurred_speech,4 days,medium
knee_pain,3 days,medium
hip_joint_pain,2 days,medium
muscle_weakness,2 days,high
stiff_neck,4 days,medium
swelling_joints,5 days,medium
movement_stiffness,5 days,medium
spinning_movements,6 days,medium
loss_of_balance,4 days,high
unsteadiness,4 days,medium
weakness_of_one_body_side,4 days,high
loss_of_smell,3 days,medium
bladder_discomfort,4 days,medium
foul_smell_ofurine,5 days,medium
continuous_feel_of_urine,6 days,medium
passage_of_gases,5 days,low
internal_itching,4 days,mild
toxic_look_(typhos),5 days,high
depression,3 days,medium
irritability,2 days,medium
muscle_pain,2 days,medium
altered_sensorium,2 days,high
red_spots_over_body,3 days,medium
belly_pain,4 days,medium
abnormal_menstruation,6 days,medium
dischromic_patches,6 days,medium
watering_from_eyes,4 days,low
increased_appetite,5 days,medium
polyuria,4 days,medium
family_history,5 days,low
mucoid_sputum,4 days,medium
rusty_sputum,4 days,medium
lack_of_concentration,3 days,medium
visual_disturbances,3 days,medium
receiving_blood_transfusion,5 days,medium
receiving_unsterile_injections,2 days,high
coma,7 days,high
stomach_bleeding,6 days,high
distention_of_abdomen,4 days,medium
history_of_alcohol_consumption,5 days,low
fluid_overload,4 days,high
blood_in_sputum,5 days,high
prominent_veins_on_calf,6 days,medium
palpitations,4 days,high
painful_walking,2 days,medium
pus_filled_pimples,2 days,low
blackheads,2 days,low
scurring,2 days,low
skin_peeling,3 days,medium
silver_like_dusting,2 days,low
small_dents_in_nails,2 days,low
inflammatory_nails,2 days,low
blister,4 days,medium
red_sore_around_nose,2 days,low
yellow_crust_ooze,3 days,medium
